Date,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr
12/31/2012,0.05,0.11,0.16,0.25,0.36,0.72,1.18,1.78
1/31/2013,0.07,0.12,0.15,0.27,0.42,0.88,1.38,2.02
2/28/2013,0.11,0.13,0.17,0.25,0.36,0.77,1.26,1.89
3/28/2013,0.07,0.11,0.14,0.25,0.36,0.77,1.24,1.87
4/30/2013,0.05,0.09,0.11,0.22,0.32,0.68,1.11,1.7
5/31/2013,0.04,0.07,0.14,0.3,0.52,1.05,1.55,2.16
6/28/2013,0.04,0.1,0.15,0.36,0.66,1.41,1.96,2.52
7/31/2013,0.04,0.08,0.11,0.31,0.61,1.38,2,2.6
8/30/2013,0.03,0.05,0.13,0.39,0.79,1.62,2.24,2.78
9/30/2013,0.02,0.04,0.1,0.33,0.63,1.39,2.02,2.64
10/31/2013,0.04,0.08,0.1,0.31,0.57,1.31,1.95,2.57
11/29/2013,0.06,0.11,0.13,0.28,0.56,1.37,2.1,2.75
12/31/2013,0.07,0.1,0.13,0.38,0.78,1.75,2.45,3.04
1/31/2014,0.02,0.06,0.1,0.34,0.69,1.49,2.13,2.67
2/28/2014,0.05,0.08,0.12,0.33,0.69,1.51,2.13,2.66
3/31/2014,0.05,0.07,0.13,0.44,0.9,1.73,2.3,2.73
4/30/2014,0.03,0.05,0.11,0.42,0.87,1.69,2.25,2.67
5/30/2014,0.04,0.06,0.1,0.37,0.79,1.54,2.06,2.48
6/30/2014,0.04,0.07,0.11,0.47,0.88,1.62,2.13,2.53
7/31/2014,0.03,0.05,0.12,0.53,1.02,1.76,2.24,2.58
8/29/2014,0.03,0.05,0.09,0.48,0.94,1.63,2.05,2.35
9/30/2014,0.02,0.03,0.13,0.58,1.07,1.78,2.22,2.52
10/31/2014,0.01,0.05,0.11,0.5,0.95,1.62,2.05,2.35